Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
3e1ee84f-dea2-4b73-a63b-0bb4f54da193,2023-12-31 06:55:59,Running,,4.21,23:38,5:37,10.68,340.0,22,,"","",2023-12-31-065559.gpx
bfb0c5eb-6835-43e6-8614-ace0d9a067c8,2023-12-30 05:48:54,Running,,4.00,22:49,5:42,10.52,341.0,64,,"","",2023-12-30-054854.gpx
1472a4c7-584a-4ebf-aea0-085f0cd87795,2023-12-28 16:53:50,Walking,,1.68,14:36,8:42,6.90,129.0,15,,"","",2023-12-28-165350.gpx
b02bdd2f-ae01-4089-81ea-04b28d45b01f,2023-12-28 16:24:27,Running,,5.04,26:37,5:17,11.36,434.0,96,,"","",2023-12-28-162427.gpx
0f28b1b5-7365-443c-aa0c-b6f70dad8b46,2023-12-28 11:58:16,Running,,0.81,4:38,5:44,10.47,71.0,16,,"","",2023-12-28-115816.gpx
c56e9d10-1825-4ea5-a4e0-47e1c79c941a,2023-12-27 10:42:22,Running,,5.00,20:56,4:11,14.34,426.0,92,,"","",2023-12-27-104222.gpx
492278dd-f334-40d0-b46f-08daf3606407,2023-12-27 10:30:14,Running,,0.92,5:36,6:05,9.86,87.0,36,,"","",2023-12-27-103014.gpx
4cf28b51-603d-4abe-b6ee-4d60a371bed3,2023-12-26 16:12:01,Walking,,1.88,17:06,9:06,6.60,145.0,17,,"","",2023-12-26-161201.gpx
c291b9b1-c480-4ad8-8176-ba2d1d6eb2d6,2023-12-26 11:46:26,Running,,5.00,25:41,5:08,11.67,428.0,95,,"","",2023-12-26-114626.gpx
878974d0-3db9-4268-89f8-a532c49d05dd,2023-12-25 11:21:45,Running,,3.94,21:45,5:31,10.87,337.0,70,,"","",2023-12-25-112145.gpx
e720f94b-258f-438e-8c30-c89d7f4467af,2023-12-25 10:14:28,Walking,,3.08,24:44,8:02,7.46,244.0,34,,"","",2023-12-25-101428.gpx
2d22f907-f0e3-4fc8-bd7e-af237d85c0c2,2023-12-24 07:14:42,Running,,8.01,44:35,5:34,10.78,678.0,113,,"","",2023-12-24-071442.gpx
87c22fb5-914b-434e-9c9b-144ab4d8175d,2023-12-23 10:35:08,Running,,5.12,24:47,4:50,12.40,440.0,99,,"","",2023-12-23-103508.gpx
e1858d5f-49bb-4ea1-9f4e-ef640a3d57ab,2023-12-22 09:26:25,Running,,4.31,22:49,5:17,11.35,369.0,70,,"","",2023-12-22-092625.gpx
42707a3d-39df-45ac-80f4-bb10fae88fe4,2023-12-21 14:10:35,Walking,,2.14,18:52,8:50,6.80,154.0,19,,"","",2023-12-21-141035.gpx
bfabb1ac-1628-4945-9411-8ec5c5d241f6,2023-12-21 09:06:11,Running,,5.06,27:46,5:29,10.93,437.0,97,,"","",2023-12-21-090611.gpx
2b676d42-ee1b-4581-9466-70624e564e6a,2023-12-20 16:10:04,Walking,,2.04,16:52,8:17,7.25,160.0,18,,"","",2023-12-20-161004.gpx
98ff046d-62da-4f27-b9cc-9211f64da593,2023-12-20 10:40:47,Running,,5.11,26:15,5:08,11.69,441.0,96,,"","",2023-12-20-104047.gpx
b4c1373b-3495-4fad-91ed-b1e08f0ed035,2023-12-19 10:58:16,Walking,,2.23,13:54,6:14,9.64,143.0,14,,"","",2023-12-19-105816.gpx
591df5b0-1433-4ff3-b3cc-5effdf23114a,2023-12-19 08:17:48,Running,,4.72,28:19,6:00,9.99,402.0,71,,"","",2023-12-19-081748.gpx
cca17172-dc0f-4a41-a039-a56673c322a4,2023-12-18 11:51:46,Running,,5.09,27:18,5:22,11.20,438.0,97,,"","",2023-12-18-115146.gpx
f4fa8107-0538-46ee-83c4-ad606d4a8ac0,2023-12-17 10:22:33,Running,,4.03,56:13,13:57,4.30,332.0,252,,"","",2023-12-17-102233.gpx
e1eba2da-7006-4969-839a-a6772d811369,2023-12-16 10:00:57,Running,,5.23,29:22,5:37,10.69,459.0,113,,"","",2023-12-16-100057.gpx
47ec75a5-e8db-455d-9fb0-2eeca5f02509,2023-12-15 11:58:40,Walking,,1.68,13:40,8:09,7.37,130.0,16,,"","",2023-12-15-115840.gpx
6dccefd8-d7e8-496b-a646-a99820b0d283,2023-12-15 11:26:44,Running,,5.04,27:22,5:26,11.06,433.0,95,,"","",2023-12-15-112644.gpx
4a9b8d1b-851b-4356-80e0-a262669cacb8,2023-12-14 17:23:25,Walking,,1.52,19:18,12:40,4.74,100.0,17,,"","",2023-12-14-172325.gpx
61458f59-7dcf-48b4-82ee-3daacd486877,2023-12-14 11:50:17,Running,,5.03,26:41,5:18,11.31,434.0,96,,"","",2023-12-14-115017.gpx
44088859-b76a-4435-9d20-caa11d9bcec9,2023-12-13 11:17:44,Running,,5.30,27:36,5:12,11.53,460.0,103,,"","",2023-12-13-111744.gpx
ac9fdb4a-0f62-4e36-a1ba-0cf339bf87e1,2023-12-12 16:38:08,Walking,,2.04,17:26,8:33,7.01,159.0,18,,"","",2023-12-12-163808.gpx
679e2368-7b43-4a75-a436-5141471cada2,2023-12-12 08:17:15,Running,,4.90,30:14,6:10,9.72,407.0,72,,"","",2023-12-12-081715.gpx
231f6809-b8e2-4e8e-b7fb-47381756aeb6,2023-12-11 14:41:56,Walking,,2.08,17:10,8:16,7.25,161.0,18,,"","",2023-12-11-144156.gpx
945f910b-a012-41de-bafd-eb66647d93d7,2023-12-11 11:23:54,Running,,5.30,27:08,5:07,11.71,465.0,123,,"","",2023-12-11-112354.gpx
13837f84-6117-4b10-ad0e-0a35a567b102,2023-12-10 07:36:21,Running,,10.31,55:58,5:26,11.05,876.0,157,,"","",2023-12-10-073621.gpx
dba7704f-a745-4d3a-8bd0-3c25fddba6eb,2023-12-09 08:29:11,Running,,5.79,33:48,5:50,10.28,520.0,161,,"","",2023-12-09-082911.gpx
570925db-7d99-4a3d-906a-fb112bef73f7,2023-12-08 09:36:50,Cycling,,13.55,50:40,3:44,16.05,371.0,283,,"","",2023-12-08-093650.gpx
0e6eca5c-0324-4009-9f95-d22570d55ea9,2023-12-07 15:38:45,Walking,,1.10,10:36,9:39,6.22,82.0,11,,"","",2023-12-07-153845.gpx
e6df52ae-3ce3-470c-8398-5721294d055b,2023-12-06 16:03:45,Walking,,1.74,14:02,8:03,7.45,137.0,17,,"","",2023-12-06-160345.gpx
8b5bace1-c7bf-4585-8e9f-f3730ee453db,2023-12-06 11:53:03,Running,,4.00,22:31,5:38,10.67,341.0,70,,"","",2023-12-06-115303.gpx
c0da9509-5d9b-4705-9055-b5d7d6f12280,2023-12-05 11:59:09,Walking,,2.04,16:29,8:04,7.44,162.0,19,,"","",2023-12-05-115909.gpx
